,CQao,"Plv,0","Vlv,0",Vlv,CQmi,"Pla,0","Vla,0",Vla,"Elv,s","Elv,d","Ela,max","Ela,min"
0,305.445,0.9485,5.9915,420.65,354.84000000000003,1.1604999999999999,3.846,16.378,2.74725,0.08293000000000002,0.271675,0.14782499999999998
1,370.615,0.9629,5.2395,576.55,464.76,1.0847,4.6116,18.438,2.06475,0.11841,0.201075,0.17446499999999998
2,413.03499999999997,1.1869,4.6205,580.75,477.08000000000004,1.1027,4.462,20.906,2.57675,0.11989,0.29727499999999996,0.145035
3,380.975,0.8885000000000001,5.5525,563.15,389.64,0.8171,4.0436,18.786,2.66175,0.10883,0.21502500000000002,0.131625
4,294.035,1.0003,5.0925,468.45000000000005,386.68,1.0907,4.2828,18.634,2.79725,0.10261,0.292075,0.148905
5,284.935,1.0227,5.5135000000000005,536.15,429.15999999999997,1.0891,3.5004,21.098,2.09725,0.08343000000000002,0.219175,0.13333499999999998
6,337.08500000000004,0.8841,4.1835,485.95,347.64,1.1065,4.0996,20.854,2.71325,0.08927000000000002,0.270475,0.153645
7,350.875,0.8579,4.3004999999999995,466.35,390.52,0.8821,4.138,20.026,2.52925,0.11753,0.231575,0.155895
8,349.96500000000003,1.0601,4.702500000000001,536.65,334.36,1.0437,4.6796,23.918,2.53625,0.08451000000000002,0.229575,0.120225
9,325.465,0.8701000000000001,4.9145,443.95,477.16,0.9775,4.2508,22.817999999999998,2.34725,0.10597000000000001,0.20247500000000002,0.16813499999999998
10,399.875,0.9345,5.9875,433.25,450.44,1.1391,4.678,16.414,2.50775,0.08775000000000001,0.211325,0.12928499999999998
11,292.495,1.1883,5.9965,531.35,473.56,0.8943,3.9196,19.734,2.72075,0.08399000000000001,0.290525,0.140115
12,414.295,0.9689,5.1635,536.85,359.24,0.9069,3.7604,17.298000000000002,2.34275,0.08475000000000002,0.274875,0.164745
13,367.045,1.1601,5.1875,457.55,346.68,1.1303,4.682,20.686,2.48025,0.08579,0.288775,0.128595
14,338.835,1.0127,5.7725,491.75,336.68,0.8463,4.5036000000000005,20.794,2.20675,0.11305,0.251675,0.127695
15,299.565,1.0721,4.8675,449.75,435.64,1.1078999999999999,3.8964,19.002,2.44275,0.09737000000000001,0.231025,0.127845
16,412.125,0.8363,4.8745,457.35,379.96000000000004,1.1770999999999998,3.2908,20.59,2.64125,0.10565,0.240475,0.141975
17,315.735,0.8491000000000001,4.9725,459.45,469.88,1.1313,4.1484,16.242,2.13775,0.08405000000000001,0.279525,0.13597499999999998
18,292.775,1.0317,4.3405000000000005,449.35,333.4,0.9537,3.7396000000000003,20.814,2.51275,0.11782999999999999,0.259975,0.126465
19,335.335,0.8395,5.2765,488.85,349.72,0.8981,4.782,21.346,2.35025,0.11310999999999999,0.280125,0.131835
20,388.395,1.0827,5.8565000000000005,546.65,362.28,1.0211000000000001,4.5212,16.542,2.47275,0.08113000000000002,0.212425,0.16081499999999999
21,397.075,1.1067,5.4035,482.95000000000005,327.56,1.0069,3.7724,21.009999999999998,2.31725,0.08275000000000002,0.266125,0.170685
22,367.185,1.0339,4.8454999999999995,503.95,330.44,1.1387,3.3772,16.478,2.72775,0.11187,0.217925,0.171645
23,324.695,1.1285,5.1114999999999995,558.35,426.6,1.0636999999999999,3.9916,17.166,2.38325,0.10997,0.260625,0.14968499999999998
24,399.385,1.0245,5.3645,502.45,339.0,0.9503,3.9852,17.102,2.58075,0.11551,0.219225,0.16075499999999998
25,321.685,0.8947,4.9785,404.95,372.68,0.9269000000000001,4.286,23.434,2.83925,0.10023000000000001,0.281325,0.177645
26,311.815,0.8163,4.6555,472.65,390.76,1.0641,4.1228,21.206,2.46425,0.10939,0.248175,0.177015
27,405.33500000000004,0.8675,5.5265,545.35,402.76,0.8797,3.4516,18.378,2.22025,0.08159000000000001,0.246425,0.138645
28,318.46500000000003,0.9155,4.0965,579.25,430.44,0.8573000000000001,4.194,16.006,2.55775,0.11795,0.229175,0.147555
29,286.195,1.0051,5.6735,403.55,333.64,1.1989,4.1868,16.762,2.43375,0.10267000000000001,0.295675,0.125805
30,287.175,1.1897,4.0415,506.55,478.28,0.9709,3.666,21.274,2.80925,0.10877,0.22362500000000002,0.174765
31,391.195,0.8231,4.9135,579.95,432.52,0.9259,3.4052000000000002,23.189999999999998,2.05375,0.09857,0.254525,0.136095
32,330.505,1.1185,4.2365,596.75,423.64,1.1467,4.77,23.214,2.83275,0.11337,0.220425,0.146505
33,416.185,1.1481,4.0085,576.65,370.6,1.0387,4.7196,19.906,2.34825,0.08199000000000002,0.20977500000000002,0.150195
34,314.475,1.0817,5.4905,505.54999999999995,360.12,0.9742999999999999,3.334,22.954,2.20275,0.11953,0.271225,0.176865
35,312.305,1.1663000000000001,5.047499999999999,582.05,361.96,0.9373,3.4284000000000003,17.042,2.21925,0.10697000000000001,0.208675,0.179865
36,369.075,0.8409,4.8425,557.35,357.48,1.1721,4.2876,20.874000000000002,2.34025,0.11079,0.20927500000000002,0.127305
37,289.905,0.8613000000000001,4.0235,495.55,326.28,0.9209,4.7828,20.89,2.46725,0.09889,0.261575,0.156675
38,391.685,0.8103,5.0954999999999995,417.45,479.15999999999997,1.0621,3.5492,21.494,2.90175,0.10377,0.250375,0.15823500000000001
39,361.235,0.8799,5.2555,496.05,413.15999999999997,0.8495,3.6324,22.65,2.78475,0.09915,0.273525,0.120915
40,287.455,1.1519,4.5865,505.85,391.72,0.8593000000000001,4.2867999999999995,17.954,2.6422499999999998,0.11410999999999999,0.21682500000000002,0.127185
41,370.195,0.8273,5.6765,444.55,351.4,0.8183,4.13,16.79,2.39325,0.11488999999999999,0.22062500000000002,0.141015
42,406.805,1.0309,4.1025,573.35,413.32,0.8557,4.1924,17.678,2.13575,0.08295000000000001,0.296675,0.14260499999999998
43,324.485,0.9427,5.6825,557.25,475.24,0.8913,3.5484,18.622,2.22275,0.10985,0.227775,0.160635
44,416.325,1.1806999999999999,4.3145,445.85,345.08,0.9939,4.0532,19.874,2.68475,0.10075,0.279325,0.128955
45,371.455,0.9929,5.4735,547.45,399.72,0.8195,3.7796,17.01,2.03625,0.10667,0.280775,0.134595
46,411.21500000000003,0.9883,4.0695,403.45,348.76,1.1945000000000001,4.5948,17.57,2.31875,0.09059000000000002,0.240725,0.129855
47,385.385,0.8537,4.8705,585.75,326.84,1.1347,4.7867999999999995,18.67,2.22425,0.08301000000000001,0.241725,0.126165
48,382.165,0.9617,4.1355,441.95,429.88,1.1463,3.5412,19.07,2.43575,0.10017000000000001,0.254025,0.12817499999999998
49,365.435,0.9069,5.0365,505.05,328.2,1.1999,4.3116,17.502,2.97425,0.09613000000000001,0.268075,0.12454499999999999
50,318.53499999999997,1.0474999999999999,5.7915,579.75,394.76,0.8465,3.282,21.158,2.55625,0.09061000000000001,0.21377500000000002,0.16558499999999998
51,356.545,1.0393,5.3825,449.95,383.8,1.0593,3.7596,16.666,2.13175,0.08523000000000001,0.218825,0.154605
52,374.53499999999997,0.9085,4.0935,552.25,354.68,0.8249000000000001,3.8588,16.094,2.36075,0.09085000000000001,0.229725,0.148125
53,394.695,1.0371,5.8495,567.55,470.76,1.0349,3.8628,22.998,2.52775,0.11471,0.274925,0.171255
